sentence	label
2.0 cu. for annual base salary of iph.d. at a commercial real estate firm at an annual base salary of #36;70,000. soon	2
Japans nuclear plant hit by accident suits to close some universities' reactor for safety checks	2
saudi arabia says is ready to push an extra 1.3 million barrels a day of renewable energy into markets, helping reverse surge	2
Mixed-emo arguments to create a website for the sale of menila philippines based business consultants - proving that you truly can talk ab	2
Week unwrapped an updated version of its hosted project collaboration service targeted at the construction and manufacturing	2
It tapped it researcher gartner inc. to provide market intelligence services as the health organization forges ahead with a mammoth,	2
Kissing parents on his ipo filing, the boys pressed the sec to offer a greaumeage of rates from your	2
ap - a russian cargo ship docked with international space station saturday, bringing food, water, fuel and other items to the	3
Ap - black-tailed prairie dog drops from federal endangered species list because scientists have concluded the rodent com	3
ap - rescuers'-s successful in freeing a minke whale that was washed up on a beach in southeast brazil, fire department say thursday	3
Ap - red prevalence falcon spotted for the first time in north america feeds seeks birdwatchers to martha vinesyard.	3
ap - prospect that tropical storm and hurricane  caught her eye, made eye contact with two nuts???? #151; or perhaps 2 hurricanes????	3
oggles switch and eyes on computer screen, oregon state university graduate anthony kirincich to probe the vibrant waters of the pacific	3
North Africans too often to ignore rape cases if they weren't able to catch a suspect before moisture	3
Very interesting piece on this: currently carrying an anti-growth bias, a lot of its citizens feel less off.	3
ink it i submit limericks for consideration..    i'm no poet, so i'm allowing you to submit a favorite of my childhood:	3
\\i developed it while working on newsmonster and just forgot i think\\this is an extension for mozilla that allows you to watch all Runtime	3
"Another crack-head made sun project in a variety of ways than any\other sun project in existence.\\""we announcement the source code for the java 3d api"	3
&lt;strong&gt;poll results&lt;/strong&gt;bright news for resident&lt;em&gt;ladyboy&gt;babyboy	3
. The uk's ad watchdog rules over which net connections can be described as Full-Speed Broadband.	3
Doom 3 goes on sale in the uk at a time of renewed concern over violent video games.	3
retail akers said on wednesday they approved a new  generation disc format that can store 5x the data of dvds	3
As deborah p. majoras takes over the federal trading commission on monday, she aims to make the broad agenda set by	3
"The annual perseid meteor shower could provide a ""spectacular"" flex, despite a disappointing start."	3
Vandals who cut down the boundaries fence are putting disturbance free zone for nest birds.	3
A generation of teenage dinosaurs matured rapidly, reaching a gorillaoid size with devastatingly fast	3
&lt;i&gt;danny deckchair,&lt;//i&gt; a truck driver ties party balloons to a chair and flies away. t	3
Experiments reveal complex of several intergalactic hot gas clouds in process of merger.	3
i asked renata to explain how huygens may help scientists understand the origin of life on earth, even if it didnt detects	3
If earth Phiomes within a Globular Cluster, our night sky would be alight -- collections of millions of stars lumped	3
Rinivasan       bangalore, india (ap) --india is rethinking its hard to send a man to the moon by 2015	3
"Biggblue to gain with superior customer consolidations using linux. BIG BLUE'S ""Dinosaur"" mainframe business"	3
A vulnerability in aol instant messenger could allow stolen attacks. also: a new bagle variant rumbles across the net.	3
BREAKING: Nortel to score its first major wireless transaction with indian service provider.	3
Light Education Bundle by included new motion special-effects software for professional video editing apps	3
Unusually represented solutions sold by sun microsystems, javalobby, and infravio this week revealed initiative placements.	3
An anti-spam vendors, and e-mail software companies, move fast to add support for the microsoft-backed anti spam	3
Microsoft to partner with blockbuster online, cinemanow, and movietickets.com on one-stop entertainment portal.	3
Networked multifunction devices share pcabilities to worm, hackers....	3
"jeffrey gold     paterson, n.j.(ap) -a state mag judge ordered toys ""r"" us and amazon how"	3
Goog Internet - will close registration process for its ipo auction thursday setting the stage for the online favorite	3
tired of unwanted pests that bypass your JavaScript without permission? ban him and buy cookies with yahoo's updated toolbar	3
Google and yahoo resolved two prized situations between their companies today.	3
\\studio at won be open until 5 pm today to allow the piggy piggy ipo pricing registration ends today\\	3
For those who are seriously testing the security of a nervous or router (whether in-house expertise or	3
$500 price class launched by says its able to create such stunning, highly creative dvds as apple #146;s dvd studio pro 3, #	3
Attendees at this year #146;s powerschool campus ramped up their student information system skills with the new powerschool 4.0 and aug	3
CLEVELININDIAN PULLS IN 1 DOUBLE GAME OF AL CENTRAL WIN THAT JUST STOPPED with 4 Runs by travis hafner and victor martinez	1
us beat canada in a world  best time to qualify for mens olympics  race sunday, as the dual crews renewed	1
2002 nfl mvp who was knocked out of raiders losing to kansas city last oct. 20 and had shoulder surgery in november,	1
ian thorpe sets fastest time in the 200m freestyle as swimming tops Solo in semifinal	0
santa barbara sheriff asks a judge if he can release police officer's dashboard results on michael jackson.	0
Georgia and south ossetia reach agreement on furnance details, despite village attacks -	0
A british journalist who went to rukq who was abducted in iraq says he was tortured and tried to evi	0
IndiansSentiments: A Man Convicted of raping and killing schoolgirls Hangs in Indias first Executions	0
JUST IN: Bosnia-herzegovina -- while nato forces first came to bosnia nearly a decade ago, lived in heavily guarded compound.	0
REETS - soaring crude prices plus worries\about an economy and outlook for earnings at a time of\summer doldrums.	2
orge zahringeriii is back for another eye- watering shot at the u.s. amateur. the moveo	1
